schema_version,service_id,airport_id,service_type,availability_raw,provider_name,service_class,description,location,opening_hours,rating_raw,review_note,confidence,notes,source_primary,source_reviews,data_checked_at
1.2,EBSP:app2drive,EBSP,app2drive,Nein – nicht in offizieller Stationsliste,,app_carsharing,,,,,,hoch,,https://www.app2drive.com/en/stations/,,2026-08-03
1.2,EBSP:bicycle,EBSP,bicycle,Keine belastbare Bestätigung für Verleih am Platz,,,,,,,,mittel,Wander- und Radrouten in der Umgebung; eigenen Klapprad-/Taxi-Plan vorsehen.,https://www.visitspa-hautesfagnes.be/en/,,2026-08-03
1.2,EBSP:rental_car,EBSP,rental_car,Keine belastbare Bestätigung direkt am Platz,,,,,,,,mittel,Taxi nach Spa vorbestellen.,https://www.aerodromedespa.be/infos-pilote/,,2026-08-03
1.2,EBSP:restaurant,EBSP,restaurant,available,Le Sunset,Bar & Brasserie,"Lunch, regionale Getränke und Terrasse mit 180°-Blick auf die Pisten",direkt am Flugplatz,täglich 10:00–20:00; Brasserie 12:00–15:00; reduzierte Küche Mo/Di,"Google ca. 4,1/5 (rund 280 Bewertungen)","Überwiegend positiv; besonders Lage, Terrasse und Atmosphäre, einzelne gemischte Serviceberichte.",hoch,,https://sunset-spa.be/,https://restaurantguru.com/Le-Sunset-Spa,2026-08-03
1.2,EDAH:app2drive,EDAH,app2drive,Ja – offizielle Station,Flughafen Heringsdorf,app_carsharing,,,,,,hoch,,https://www.app2drive.com/en/stations/,,2026-08-02
1.2,EDAH:bicycle,EDAH,bicycle,Keine belastbare Bestätigung,,,,,,,,hoch,,https://www.flughafen-heringsdorf.de/,,2026-08-02
1.2,EDAH:rental_car,EDAH,rental_car,Ja – direkt am Platz,Sixt; app2drive,Großer Vermieter + App-Carsharing,,,,,,hoch,,https://www.flughafen-heringsdorf.de/,,2026-08-02
1.2,EDAH:restaurant,EDAH,restaurant,available,Flughafen-Snackbar,Bistro/Café,"Kaffee, Kuchen, Getränke und Snacks",,,gemischt,"Flughafen insgesamt gut bewertet, jüngere Stimmen teils kritischer zur Gastronomie.",hoch,,https://www.flughafen-heringsdorf.de/,https://www.sixt.com/car-rental/germany/heringsdorf/usedom-airport/,2026-08-02
1.2,EDAY:restaurant,EDAY,restaurant,available,Doppeldecker / Snackautomat,Restaurant/Snack,,Direkt am Platz,Restaurant typischerweise Di–So; Heißgetränke-/Snackversorgung ergänzend,,,mittel bis hoch,,https://www.flugplatz-strausberg.de/,,2026-08-03
1.2,EDAZ:restaurant,EDAZ,restaurant,available,Restaurant Cockpit,Restaurant,,Direkt am Tower,Täglich ca. 11:00–20:00; Frühstück nach Vorbestellung,,,hoch,,https://www.flugplatz-schoenhagen.aero/besucher/erholung/restaurant-cockpit,,2026-08-03
